gene,hgnc_id,in_universe
ACD,HGNC:25070,0
ACP5,HGNC:124,1
ACTB,HGNC:132,0
ADA,HGNC:186,1
ADA2,HGNC:1839,1
ADAM17,HGNC:195,1
ADAR,HGNC:225,1
AICDA,HGNC:13203,1
AIRE,HGNC:360,1
AK2,HGNC:362,1
ALPI,HGNC:437,1
ALPK1,HGNC:20917,1
AP1S3,HGNC:18971,1
AP3B1,HGNC:566,1
AP3D1,HGNC:568,0
APOL1,HGNC:618,1
ARF1,HGNC:652,0
ARHGEF1,HGNC:681,1
ARPC1B,HGNC:704,1
ARPC5,HGNC:708,1
ATAD3A,HGNC:25567,1
ATG4A,HGNC:16489,1
ATM,HGNC:795,1
ATP6AP1,HGNC:868,1
B2M,HGNC:914,0
BACH2,HGNC:14078,1
BCL10,HGNC:989,0
BCL11B,HGNC:13222,1
BLM,HGNC:1058,1
BLNK,HGNC:14211,1
BRCA1,HGNC:1100,1
BRCA2,HGNC:1101,1
BRIP1,HGNC:20473,1
BTK,HGNC:1133,1
C1QA,HGNC:1241,1
C1QB,HGNC:1242,0
C1QC,HGNC:1245,1
C1R,HGNC:1246,0
C1S,HGNC:1247,1
C2,HGNC:1248,1
C2orf69,HGNC:26799,1
C3,HGNC:1318,1
C4A,HGNC:1323,1
C4B,HGNC:1324,1
C5,HGNC:1331,1
C6,HGNC:1339,1
C7,HGNC:1346,1
C8A,HGNC:1352,1
C8B,HGNC:1353,1
C8G,HGNC:1354,0
C9,HGNC:1358,1
CARD11,HGNC:16393,1
CARD14,HGNC:16446,1
CARD9,HGNC:16391,1
CARMIL2,HGNC:27089,1
CASP10,HGNC:1500,1
CASP8,HGNC:1509,1
CBLB,HGNC:1542,0
CCBE1,HGNC:29426,1
CCR2,HGNC:1603,0
CD19,HGNC:1633,1
CD247,HGNC:1677,1
CD27,HGNC:11922,1
CD274,HGNC:17635,1
CD28,HGNC:1653,1
CD3D,HGNC:1673,1
CD3E,HGNC:1674,1
CD3G,HGNC:1675,1
CD40,HGNC:11919,1
CD40LG,HGNC:11935,1
CD46,HGNC:6953,1
CD55,HGNC:2665,1
CD59,HGNC:1689,1
CD70,HGNC:11937,1
CD79A,HGNC:1698,1
CD79B,HGNC:1699,1
CD81,HGNC:1701,1
CD8A,HGNC:1706,1
CDC42,HGNC:1736,1
CDCA7,HGNC:14628,1
CEBPE,HGNC:1836,1
CFB,HGNC:1037,1
CFD,HGNC:2771,1
CFH,HGNC:4883,1
CFHR1,HGNC:4888,1
CFHR2,HGNC:4890,1
CFHR3,HGNC:16980,1
CFHR4,HGNC:16979,1
CFHR5,HGNC:24668,1
CFI,HGNC:5394,1
CFP,HGNC:8864,1
CFTR,HGNC:1884,1
CHD7,HGNC:20626,1
CHUK,HGNC:1974,1
CIB1,HGNC:16920,1
CIITA,HGNC:7067,1
CLCN7,HGNC:2025,1
CLPB,HGNC:30664,1
COPA,HGNC:2230,1
COPG1,HGNC:2236,1
CORO1A,HGNC:2252,1
CR2,HGNC:2336,1
CRACR2A,HGNC:28657,1
CSF2RA,HGNC:2435,0
CSF2RB,HGNC:2436,1
CSF3R,HGNC:2439,1
CTC1,HGNC:26169,0
CTLA4,HGNC:2505,0
CTNNBL1,HGNC:15879,1
CTPS1,HGNC:2519,0
CTSC,HGNC:2528,1
CXCR2,HGNC:6027,1
CXCR4,HGNC:2561,1
CYBA,HGNC:2577,1
CYBB,HGNC:2578,1
CYBC1,HGNC:28672,1
DBF4,HGNC:17364,1
DBR1,HGNC:15594,1
DCLRE1B,HGNC:17641,0
DCLRE1C,HGNC:17642,1
DEF6,HGNC:2760,1
DIAPH1,HGNC:2876,0
DKC1,HGNC:2890,1
DNAJC21,HGNC:27030,1
DNASE1L3,HGNC:2959,1
DNASE2,HGNC:2960,1
DNMT3B,HGNC:2979,1
DOCK11,HGNC:23483,1
DOCK2,HGNC:2988,0
DOCK8,HGNC:19191,1
DPP9,HGNC:18648,1
DUT,HGNC:3078,1
EFL1,HGNC:25789,1
ELANE,HGNC:3309,1
ELF4,HGNC:3319,1
EPG5,HGNC:29331,1
ERBIN,HGNC:15842,1
ERCC4,HGNC:3436,1
ERCC6L2,HGNC:26922,1
ERN1,HGNC:3449,1
EXTL3,HGNC:3518,1
FAAP24,HGNC:28467,1
FADD,HGNC:3573,1
FANCA,HGNC:3582,1
FANCB,HGNC:3583,0
FANCC,HGNC:3584,1
FANCD2,HGNC:3585,1
FANCE,HGNC:3586,1
FANCF,HGNC:3587,1
FANCG,HGNC:3588,1
FANCI,HGNC:25568,1
FANCL,HGNC:20748,1
FANCM,HGNC:23168,1
FAS,HGNC:11920,1
FASLG,HGNC:11936,1
FAT4,HGNC:23109,1
FCGR3A,HGNC:3619,0
FCHO1,HGNC:29002,1
FCN3,HGNC:3625,1
FERMT1,HGNC:15889,1
FERMT3,HGNC:23151,1
FLT3LG,HGNC:3766,1
FNIP1,HGNC:29418,1
FOXI3,HGNC:35123,1
FOXN1,HGNC:12765,1
FOXP3,HGNC:6106,1
FPR1,HGNC:3826,1
G6PC3,HGNC:24861,1
G6PD,HGNC:4057,1
GATA2,HGNC:4171,1
GFI1,HGNC:4237,1
GIMAP6,HGNC:21918,1
GINS1,HGNC:28980,1
GINS4,HGNC:28226,1
GTF3A,HGNC:4662,1
HAVCR2,HGNC:18437,1
HAX1,HGNC:16915,1
HCK,HGNC:4840,0
HELLS,HGNC:4861,1
HMOX1,HGNC:5013,1
HYOU1,HGNC:16931,1
ICOS,HGNC:5351,1
ICOSLG,HGNC:17087,1
IFIH1,HGNC:18873,0
IFNAR1,HGNC:5432,1
IFNAR2,HGNC:5433,1
IFNG,HGNC:5438,1
IFNGR1,HGNC:5439,1
IFNGR2,HGNC:5440,1
IGHM,HGNC:5541,0
IGKC,HGNC:5716,0
IGLL1,HGNC:5870,1
IKBKB,HGNC:5960,1
IKBKE,HGNC:14552,1
IKBKG,HGNC:5961,1
IKZF1,HGNC:13176,1
IKZF2,HGNC:13177,1
IKZF3,HGNC:13178,1
IL10,HGNC:5962,1
IL10RA,HGNC:5964,1
IL10RB,HGNC:5965,1
IL12B,HGNC:5970,1
IL12RB1,HGNC:5971,1
IL12RB2,HGNC:5972,1
IL17F,HGNC:16404,1
IL17RA,HGNC:5985,1
IL17RC,HGNC:18358,1
IL18BP,HGNC:5987,1
IL1R1,HGNC:5993,1
IL1RN,HGNC:6000,1
IL21,HGNC:6005,0
IL21R,HGNC:6006,1
IL23R,HGNC:19100,1
IL27RA,HGNC:17290,1
IL2RA,HGNC:6008,1
IL2RB,HGNC:6009,1
IL2RG,HGNC:6010,1
IL36RN,HGNC:15561,1
IL6R,HGNC:6019,1
IL6ST,HGNC:6021,1
IL7R,HGNC:6024,1
INO80,HGNC:26956,0
IRAK1,HGNC:6112,1
IRAK4,HGNC:17967,0
IRF1,HGNC:6116,1
IRF2BP2,HGNC:21729,1
IRF3,HGNC:6118,1
IRF4,HGNC:6119,1
IRF7,HGNC:6122,1
IRF8,HGNC:5358,1
IRF9,HGNC:6131,1
ISG15,HGNC:4053,0
ITCH,HGNC:13890,0
ITGB2,HGNC:6155,1
ITK,HGNC:6171,1
ITPKB,HGNC:6179,1
ITPR3,HGNC:6182,1
JAGN1,HGNC:26926,0
JAK1,HGNC:6190,1
JAK3,HGNC:6193,1
KARS1,HGNC:6215,1
KDM6A,HGNC:12637,1
KMT2A,HGNC:7132,1
KMT2D,HGNC:7133,1
LACC1,HGNC:26789,1
LAMTOR2,HGNC:29796,1
LAT,HGNC:18874,1
LCK,HGNC:6524,1
LCP2,HGNC:6529,1
LIG1,HGNC:6598,1
LIG4,HGNC:6601,1
LPIN2,HGNC:14450,1
LRBA,HGNC:1742,1
LSM11,HGNC:30860,1
LY96,HGNC:17156,1
LYN,HGNC:6735,1
LYST,HGNC:1968,1
MAD2L2,HGNC:6764,1
MAGT1,HGNC:28880,1
MALT1,HGNC:6819,0
MAN2B2,HGNC:29623,1
MAP1LC3B2,HGNC:34390,1
MAP3K14,HGNC:6853,1
MAPK8,HGNC:6881,1
MASP2,HGNC:6902,1
MCM10,HGNC:18043,1
MCM4,HGNC:6947,1
MCTS1,HGNC:23357,1
MECOM,HGNC:3498,1
MEFV,HGNC:6998,1
MOGS,HGNC:24862,0
MRTFA,HGNC:14334,1
MS4A1,HGNC:7315,1
MSH6,HGNC:7329,1
MSN,HGNC:7373,1
MTHFD1,HGNC:7432,0
MVK,HGNC:7530,0
MYD88,HGNC:7562,1
MYSM1,HGNC:29401,1
NBAS,HGNC:15625,1
NBEAL2,HGNC:31928,1
NBN,HGNC:7652,1
NCF1,HGNC:7660,1
NCF2,HGNC:7661,1
NCF4,HGNC:7662,1
NCKAP1L,HGNC:4862,1
NCSTN,HGNC:17091,1
NFAT5,HGNC:7774,1
NFATC1,HGNC:7775,1
NFATC2,HGNC:7776,1
NFE2L2,HGNC:7782,1
NFKB1,HGNC:7794,1
NFKB2,HGNC:7795,1
NFKBIA,HGNC:7797,1
NHEJ1,HGNC:25737,1
NHP2,HGNC:14377,1
NLRC4,HGNC:16412,1
NLRP1,HGNC:14374,1
NLRP12,HGNC:22938,1
NLRP3,HGNC:16400,1
NOD2,HGNC:5331,1
NOP10,HGNC:14378,1
NOS2,HGNC:7873,1
NSMCE3,HGNC:7677,1
NUDCD3,HGNC:22208,1
OAS1,HGNC:8086,1
OAS2,HGNC:8087,1
ORAI1,HGNC:25896,0
OSTM1,HGNC:21652,1
OTULIN,HGNC:25118,1
PALB2,HGNC:26144,1
PARN,HGNC:8609,1
PAX1,HGNC:8615,1
PAX5,HGNC:8619,1
PDCD1,HGNC:8760,1
PEPD,HGNC:8840,1
PGM3,HGNC:8907,1
PI4KA,HGNC:8983,1
PIK3CD,HGNC:8977,1
PIK3CG,HGNC:8978,1
PIK3R1,HGNC:8979,1
PLCG1,HGNC:9065,1
PLCG2,HGNC:9066,1
PLEKHM1,HGNC:29017,1
PMS2,HGNC:9122,1
PMVK,HGNC:9141,1
PNP,HGNC:7892,1
POLA1,HGNC:9173,1
POLD1,HGNC:9175,1
POLD2,HGNC:9176,1
POLD3,HGNC:20932,1
POLE,HGNC:9177,1
POLE2,HGNC:9178,1
POLR3A,HGNC:30074,1
POLR3C,HGNC:30076,1
POLR3F,HGNC:15763,1
POMP,HGNC:20330,1
POU2AF1,HGNC:9211,1
PRF1,HGNC:9360,1
PRIM1,HGNC:9369,1
PRKCD,HGNC:9399,1
PRKDC,HGNC:9413,1
PSEN1,HGNC:9508,1
PSENEN,HGNC:30100,1
PSMB10,HGNC:9538,1
PSMB4,HGNC:9541,1
PSMB8,HGNC:9545,1
PSMB9,HGNC:9546,1
PSMD12,HGNC:9557,1
PSMG2,HGNC:24929,1
PSTPIP1,HGNC:9580,1
PTCRA,HGNC:21290,1
PTEN,HGNC:9588,1
PTPN2,HGNC:9650,1
PTPRC,HGNC:9666,1
RAB27A,HGNC:9766,1
RAC2,HGNC:9802,1
RAD50,HGNC:9816,1
RAD51,HGNC:9817,1
RAD51C,HGNC:9820,1
RAG1,HGNC:9831,1
RAG2,HGNC:9832,0
RANBP2,HGNC:9848,1
RASGRP1,HGNC:9878,1
RBCK1,HGNC:15864,1
RECQL4,HGNC:9949,1
REL,HGNC:9954,1
RELA,HGNC:9955,1
RELB,HGNC:9956,1
RFWD3,HGNC:25539,1
RFX5,HGNC:9986,1
RFXANK,HGNC:9987,1
RFXAP,HGNC:9988,1
RHBDF2,HGNC:20788,1
RHOG,HGNC:672,1
RHOH,HGNC:686,1
RIPK1,HGNC:10019,1
RIPK3,HGNC:10021,1
RMRP,HGNC:10031,0
RNASEH2A,HGNC:18518,1
RNASEH2B,HGNC:25671,1
RNASEH2C,HGNC:24116,1
RNASEL,HGNC:10050,1
RNF168,HGNC:26661,1
RNF31,HGNC:16031,1
RNU4ATAC,HGNC:34016,0
RNU7-1,HGNC:34033,0
RORC,HGNC:10260,1
RPSA,HGNC:6502,1
RTEL1,HGNC:15888,1
SAMD9,HGNC:1348,1
SAMD9L,HGNC:1349,1
SAMHD1,HGNC:15925,1
SASH3,HGNC:15975,1
SBDS,HGNC:19440,1
SEC61A1,HGNC:18276,1
SEMA3E,HGNC:10727,0
SERPING1,HGNC:1228,1
SGPL1,HGNC:10817,1
SH2B3,HGNC:29605,1
SH2D1A,HGNC:10820,1
SH3BP2,HGNC:10825,1
SH3KBP1,HGNC:13867,1
SHARPIN,HGNC:25321,1
SKIC2,HGNC:10898,1
SKIC3,HGNC:23639,1
SLC19A1,HGNC:10937,1
SLC29A3,HGNC:23096,1
SLC35C1,HGNC:20197,1
SLC37A4,HGNC:4061,1
SLC39A7,HGNC:4927,1
SLC46A1,HGNC:30521,1
SLC7A7,HGNC:11065,1
SLX4,HGNC:23845,1
SMAD3,HGNC:6769,1
SMARCAL1,HGNC:11102,1
SMARCD2,HGNC:11107,1
SNORA31,HGNC:32621,0
SNX10,HGNC:14974,1
SOCS1,HGNC:19383,1
SP110,HGNC:5401,1
SPI1,HGNC:11241,1
SPINK5,HGNC:15464,1
SPPL2A,HGNC:30227,1
SRP19,HGNC:11300,1
SRP54,HGNC:11301,1
SRP72,HGNC:11303,0
SRPRA,HGNC:11307,1
STAT1,HGNC:11362,1
STAT2,HGNC:11363,1
STAT3,HGNC:11364,1
STAT4,HGNC:11365,1
STAT5B,HGNC:11367,1
STAT6,HGNC:11368,1
STIM1,HGNC:11386,1
STING1,HGNC:27962,1
STK4,HGNC:11408,1
STN1,HGNC:26200,1
STX11,HGNC:11429,1
STXBP2,HGNC:11445,1
SYK,HGNC:11491,1
TAFAZZIN,HGNC:11577,1
TAP1,HGNC:43,1
TAP2,HGNC:44,0
TAPBP,HGNC:11566,1
TBK1,HGNC:11584,1
TBX1,HGNC:11592,1
TBX21,HGNC:11599,1
TCF3,HGNC:11633,1
TCIRG1,HGNC:11647,1
TCN2,HGNC:11653,1
TERC,HGNC:11727,0
TERT,HGNC:11730,1
TET2,HGNC:25941,1
TFRC,HGNC:11763,1
TGFB1,HGNC:11766,1
TGFBR1,HGNC:11772,1
TGFBR2,HGNC:11773,1
THBD,HGNC:11784,1
TICAM1,HGNC:18348,1
TINF2,HGNC:11824,1
TIRAP,HGNC:17192,1
TLR3,HGNC:11849,1
TLR4,HGNC:11850,1
TLR7,HGNC:15631,1
TLR8,HGNC:15632,1
TMC6,HGNC:18021,1
TMC8,HGNC:20474,1
TNFAIP3,HGNC:11896,1
TNFRSF11A,HGNC:11908,1
TNFRSF13B,HGNC:18153,1
TNFRSF13C,HGNC:17755,1
TNFRSF1A,HGNC:11916,1
TNFRSF4,HGNC:11918,1
TNFRSF9,HGNC:11924,0
TNFSF11,HGNC:11926,1
TNFSF12,HGNC:11927,1
TNFSF13,HGNC:11928,1
TNFSF9,HGNC:11939,1
TOP2B,HGNC:11990,1
TP53,HGNC:11998,1
TPP2,HGNC:12016,1
TRAC,HGNC:12029,0
TRAF3,HGNC:12033,1
TRAF3IP2,HGNC:1343,1
TREX1,HGNC:12269,0
TRIM22,HGNC:16379,1
TRNT1,HGNC:17341,1
TTC7A,HGNC:19750,1
TYK2,HGNC:12440,1
UBE2T,HGNC:25009,0
UNC13D,HGNC:23147,1
UNC93B1,HGNC:13481,1
UNG,HGNC:12572,1
USB1,HGNC:25792,1
USP18,HGNC:12616,1
VPS13B,HGNC:2183,1
VPS45,HGNC:14579,0
WAS,HGNC:12731,1
WDR1,HGNC:12754,1
WIPF1,HGNC:12736,1
WRAP53,HGNC:25522,1
XIAP,HGNC:592,1
XRCC2,HGNC:12829,1
ZAP70,HGNC:12858,1
ZBTB24,HGNC:21143,1
ZNF341,HGNC:15992,1
ZNFX1,HGNC:29271,1
